time,open,close,high,low,volume
1682764740000,0.70315,0.70315,0.70315,0.70315,773.9
1682767980000,0.70476,0.70476,0.70476,0.70476,787.2
1682769480000,0.70666,0.70666,0.70666,0.70666,571.0
1682770320000,0.71065,0.71065,0.71065,0.71065,1466.04251573
1682773620000,0.71525,0.71525,0.71525,0.71525,349.2
1682773680000,0.71528,0.71528,0.71528,0.71528,0.05384307
1682773800000,0.71388,0.71388,0.71388,0.71388,4.27380407
1682774040000,0.72174,0.72174,0.72174,0.72174,721.04615794
1682774580000,0.72398,0.72398,0.72398,0.72398,1443.53839363
1682777820000,0.72369,0.72369,0.72369,0.72369,665.0
1682779440000,0.72785,0.72785,0.72785,0.72785,343.2
1682779500000,0.72674,0.72776,0.72776,0.72674,3573.24262924
1682780880000,0.718,0.718,0.718,0.718,0.8574949
1682781000000,0.71833,0.71833,0.71833,0.71833,3.27294735
1682782860000,0.71608,0.71608,0.71608,0.71608,348.8
1682783220000,0.71453,0.71453,0.71453,0.71453,14.8
1682785800000,0.70718,0.70718,0.70718,0.70718,752.8
1682786700000,0.71163,0.71163,0.71163,0.71163,14.7
1682789460000,0.69919,0.69919,0.69919,0.69919,15.03360438
1682791860000,0.70343,0.70343,0.70343,0.70343,15.1
1682795280000,0.70217,0.70217,0.70217,0.70217,0.03459724
1682796420000,0.70884,0.70884,0.70884,0.70884,859.0
1682800860000,0.70777,0.70777,0.70777,0.70777,0.32735674
1682802660000,0.70824,0.70824,0.70824,0.70824,1.24947846
1682809200000,0.70078,0.70069,0.70078,0.70069,5203.657641469999
1682809860000,0.6975,0.6975,0.6975,0.6975,2.28728352
1682811180000,0.69959,0.69959,0.69959,0.69959,1488.22607565
1682811300000,0.69996,0.69996,0.69996,0.69996,857.0
1682813340000,0.70808,0.70808,0.70808,0.70808,1475.8
1682813400000,0.70808,0.70808,0.70808,0.70808,0.06759296
1682813580000,0.71033,0.71033,0.71033,0.71033,351.7
1682814360000,0.72109,0.72109,0.72109,0.72109,346.5
1682814540000,0.72058,0.72058,0.72058,0.72058,346.7
1682815020000,0.7185,0.71651,0.7185,0.71651,2493.39998725
1682815380000,0.71651,0.71651,0.71651,0.71651,1.275e-05
1682815920000,0.71254,0.71254,0.71254,0.71254,0.33457018
1682816520000,0.71543,0.71592,0.71592,0.71543,2192.99453012
1682818140000,0.71397,0.71397,0.71397,0.71397,4.2472003
1682819520000,0.72123,0.72123,0.72123,0.72123,0.44694168
1682821140000,0.72096,0.72096,0.72096,0.72096,0.24628736
1682823600000,0.72494,0.72494,0.72494,0.72494,14.64903117
1682828340000,0.71921,0.71921,0.71921,0.71921,3.56973204
1682831220000,0.73179,0.73179,0.73179,0.73179,0.93525092
1682831460000,0.73602,0.73603,0.73603,0.73602,621.0
1682831820000,0.73652,0.73652,0.73652,0.73652,237.4
1682834460000,0.73319,0.7332,0.7332,0.73319,724.78708879
1682836860000,0.73983,0.73983,0.73983,0.73983,236.4
1682837520000,0.74215,0.74556,0.74556,0.74215,249.19706
1682838420000,0.73513,0.73513,0.73513,0.73513,3.10518992
1682845620000,0.73639,0.73639,0.73639,0.73639,0.0176424
1682850120000,0.73448,0.73448,0.73448,0.73448,340.2
1682850360000,0.73492,0.73492,0.73492,0.73492,679.8
1682850420000,0.73492,0.73504,0.73504,0.73492,571.0
1682851200000,0.73337,0.73337,0.73337,0.73337,340.7
1682852400000,0.73097,0.73097,0.73097,0.73097,341.8
1682852460000,0.73151,0.73151,0.73151,0.73151,1.77030585
1682853180000,0.72303,0.72303,0.72303,0.72303,1374.8
1682854740000,0.72437,0.72437,0.72437,0.72437,1446.7
1682854860000,0.71861,0.71861,0.71861,0.71861,1449.0
1682856300000,0.71828,0.71828,0.71828,0.71828,1021.0
1682865600000,0.7165,0.7165,0.7165,0.7165,0.67432674
1682872800000,0.71375,0.71375,0.71375,0.71375,0.35226112
1682874360000,0.71365,0.71218,0.71365,0.71218,6514.25815009
1682876340000,0.70901,0.709,0.70901,0.709,4626.4
1682876700000,0.709,0.709,0.709,0.709,16066.9024994
1682877900000,0.70823,0.70823,0.70823,0.70823,15.4
1682894520000,0.71907,0.71907,0.71907,0.71907,0.36053642
1682901180000,0.70748,0.70683,0.70748,0.70683,5154.97686668
1682901960000,0.69066,0.67536,0.69066,0.67485,779.2747693399999
1682903100000,0.68937,0.68937,0.68937,0.68937,15.62419281
1682906640000,0.684,0.684,0.684,0.684,10328.607752
1682907720000,0.68213,0.68213,0.68213,0.68213,859.0
1682908860000,0.6784,0.6784,0.6784,0.6784,1.90873234
1682908980000,0.67581,0.67581,0.67581,0.67581,6.34626089
1682911080000,0.67696,0.67696,0.67696,0.67696,771.15357895
1682921460000,0.68272,0.68272,0.68272,0.68272,1527.05301178
1682922720000,0.68153,0.6813,0.68153,0.6813,1115.7
1682925960000,0.67989,0.67981,0.67989,0.67981,4097.1
1682930580000,0.68404,0.68404,0.68404,0.68404,0.11149302
1682931540000,0.68175,0.68175,0.68175,0.68175,848.1
1682933640000,0.67791,0.67791,0.67791,0.67791,0.20297424
1682937300000,0.67992,0.67992,0.67992,0.67992,859.0
1682937660000,0.67854,0.67854,0.67854,0.67854,0.03096082
1682938140000,0.67913,0.67913,0.67913,0.67913,768.0
1682940240000,0.67427,0.67416,0.67427,0.67416,5780.29889781
1682944860000,0.67958,0.67958,0.67958,0.67958,0.21747393
1682947920000,0.67875,0.67875,0.67875,0.67875,1.04268916
1682948460000,0.67779,0.67779,0.67779,0.67779,0.08852713
1682949060000,0.67702,0.67702,0.67702,0.67702,756.6
1682951760000,0.66245,0.66245,0.66245,0.66245,2319.9
1682952240000,0.66461,0.66461,0.66461,0.66461,0.24258211
1682953200000,0.668,0.668,0.668,0.668,2032.0
1682953260000,0.67118,0.67376,0.67376,0.67118,1488.1
1682953320000,0.68595,0.68595,0.68595,0.68595,2550.8
1682953440000,0.695,0.695,0.695,0.695,10652.67356972
1682953620000,0.69212,0.69212,0.69212,0.69212,1199.4
1682953740000,0.69073,0.69073,0.69073,0.69073,753.70411242
1682953800000,0.68741,0.68793,0.68793,0.68741,4529.56133693
1682955000000,0.66473,0.66473,0.66473,0.66473,16.34955533
1682956080000,0.65741,0.65741,0.65741,0.65741,16.34628542
1682956500000,0.65949,0.65949,0.65949,0.65949,0.7280244
1682957220000,0.65196,0.65196,0.65196,0.65196,2.77877516
1682957340000,0.6489,0.6489,0.6489,0.6489,385.2
1682957460000,0.64618,0.64618,0.64618,0.64618,16.62704244
1682957580000,0.65018,0.65018,0.65018,0.65018,2.75598262
1682957700000,0.64499,0.64499,0.64499,0.64499,0.29367412
1682958240000,0.63552,0.63552,0.63552,0.63552,1.09360598
1682958600000,0.6367,0.6367,0.6367,0.6367,16.6
1682959140000,0.64087,0.64087,0.64087,0.64087,0.00715514
1682963580000,0.64595,0.64595,0.64595,0.64595,1582.12885307
1682964060000,0.64433,0.64433,0.64433,0.64433,0.46832252
1682964180000,0.64495,0.64495,0.64495,0.64495,0.49135026
1682965020000,0.64104,0.64104,0.64104,0.64104,0.1937479
1682965260000,0.64307,0.64307,0.64307,0.64307,1620.99310675
1682965920000,0.63628,0.63628,0.63628,0.63628,2.32322398
1682966040000,0.63209,0.63209,0.63209,0.63209,1646.94223075
1682966220000,0.63143,0.63143,0.63143,0.63143,0.92155556
1682966520000,0.62123,0.62123,0.62123,0.62123,17.00997406
1682966700000,0.61992,0.61992,0.61992,0.61992,4.14086569
